MODELO,RAM,ALMACENAMIENTO,NOTAS,PRECIO,COLORES,DOLAR,COSTO,VENTA
MOTO E14,2GB,64GB,,$115,Lavanda,1500,$172.500,$181.125
MOTO E15,2GB,64GB,slim,$121,"Blue, Lavanda",1500,$181.500,$190.575
MOTO E15,2GB,64GB,,$135,"Denim Blue, Purple",1500,$202.500,$212.625
MOTO G04S,4GB,64GB,,$135,Orange,1500,$202.500,$212.625
MOTO G04S,4GB,128GB,,$139,Orange,1500,$208.500,$218.925
MOTO G04S,4GB,256GB,,$142,"Black, Blue, Green",1500,$213.000,$223.650
MOTO G05,4GB,128GB,slim,$133,Forest Green,1500,$199.500,$209.475
MOTO G05,4GB,128GB,,$140,"Blue, Forest Green, Plum Red",1500,$210.000,$220.500
MOTO G05,4GB,256GB,slim,$170,"Forest Green, Plum Red",1500,$255.000,$267.750
MOTO G05,4GB,256GB,,$170,"Forest Green, Plum Red",1500,$255.000,$267.750
MOTO G14,4GB,128GB,,$150,Gray,1500,$225.000,$236.250
MOTO G15,8GB,256GB,"POWER, slim",$185,"Gravity Gray, Iguana Green",1500,$277.500,$291.375
MOTO G15,4GB,128GB,caja abollada,$157,Gray,1500,$235.500,$247.275
MOTO G15,4GB,128GB,,$160,"Gray, Green",1500,$240.000,$252.000
MOTO G15,4GB,256GB,caja abollada,$162,"Green, Orange",1500,$243.000,$255.150
MOTO G15,4GB,256GB,,$165,"Gray, Green, Orange",1500,$247.500,$259.875
MOTO G15,4GB,512GB,,$212,"Blue, Light Blue",1500,$318.000,$333.900
MOTO G24,4GB,256GB,,$175,Green,1500,$262.500,$275.625
MOTO G35 5G,4GB,128GB,slim,$170,Black,1500,$255.000,$267.750
MOTO G35 5G,4GB,256GB,,$184,Black,1500,$276.000,$289.800
MOTO G35 5G,8GB,256GB,slim,$190,"Black, Green",1500,$285.000,$299.250
MOTO G35 5G,8GB,256GB,C,$193,"Black, Green",1500,$289.500,$303.975
MOTO G54 5G,8GB,256GB,"POWER, slim",$205,"Midnight Blue, Mint Green, Pearl Blue",1500,$307.500,$322.875
MOTO G54 5G,12GB,256GB,"POWER, slim",$220,"Midnight Blue, Pearl Blue",1500,$330.000,$346.500
MOTO G54 5G,8GB,256GB,slim,$208,Outer Space,1500,$312.000,$327.600
MOTO G55 5G,8GB,256GB,,$215,Forest Gray,1500,$322.500,$338.625
MOTO G56 5G,8GB,256GB,caja abollada,$247,Black Oyster,1500,$370.500,$389.025
MOTO G56 5G,8GB,256GB,,$250,"Black Oyster, Gray Mist, Pantone Dill",1500,$375.000,$393.750
MOTO G84 5G,8GB,256GB,slim,$220,"Midnight Blue, Viva Magenta",1500,$330.000,$346.500
MOTO G75 5G,8GB,256GB,caja abollada,$245,Gray,1500,$367.500,$385.875
MOTO G75 5G,8GB,256GB,,$250,Gray,1500,$375.000,$393.750
