Estado,Modelo,RAM,Almacenamiento,Notas,Precio,Colores,Columna 1,DOLAR,Columna 2,VENTA
🟢,POCO C71,3GB,64GB,,$118,"Black,Blue",1500,5%,$177.000,$185.850
🟢,POCO C71,4GB,128GB,,$120,"Black,Blue,Gold",1500,,$180.000,$189.000
🟢,POCO C75,6GB,128GB,,$137,"Black,Gold,Green",1500,,$205.500,$215.775
🟢,POCO C75,8GB,256GB,,$158,Black,1500,,$237.000,$248.850
🟢,POCO C85,8GB,256GB,,$225,Black,1500,,$337.500,$354.375
🟡,REDMI A3,3GB,64GB,,$120,Blue,1500,,$180.000,$189.000
🟠,REDMI A3,4GB,128GB,,$138,Green,1500,,$207.000,$217.350
🟢,REDMI A3X,3GB,64GB,,$113,Green,1500,,$169.500,$177.975
🟢,REDMI A3X,4GB,128GB,,$140,"Green,White",1500,,$210.000,$220.500
🟢,REDMI A3 PRO,4GB,128GB,,$155,Black,1500,,$232.500,$244.125
🟢,REDMI A4 5G,4GB,128GB,,$155,"Black,Purple",1500,,$232.500,$244.125
🔴,REDMI A5,3GB,64GB,caja rota,$114,Green,1500,,$171.000,$179.550
🟢,REDMI A5,3GB,64GB,,$115,"Black,Blue,Gold,Green",1500,,$172.500,$181.125
🟢,REDMI A5,4GB,128GB,,$135,"Black,Blue,Gold",1500,,$202.500,$212.625
🟠,REDMI 13C,4GB,128GB,caja abollada,$133,Green,1500,,$199.500,$209.475
🟢,REDMI 13C,4GB,128GB,,$136,"Green,Navy Blue,White",1500,,$204.000,$214.200
🟠,REDMI 13,6GB,128GB,,$150,Black,1500,,$225.000,$236.250
🟡,REDMI 13,8GB,128GB,,$165,"Black,Blue,Pink",1500,,$247.500,$259.875
🟢,REDMI 13,8GB,256GB,,$165,"Black,Blue",1500,,$247.500,$259.875
🟠,REDMI 13,8GB,256GB,Slim NFC,$170,Black,1500,,$255.000,$267.750
🟢,REDMI 14C,4GB,128GB,(4GB+4GB) Slim,$133,Black,1500,,$199.500,$209.475
🟢,REDMI 14C,4GB,128GB,(4GB+4GB),$135,"Black,Green,Purple",1500,,$202.500,$212.625
🟠,REDMI 14C,6GB,128GB,(6GB+6GB) Slim,$142,Green,1500,,$213.000,$223.650
🟢,REDMI 14C,6GB,128GB,(6GB+6GB),$144,Black,1500,,$216.000,$226.800
🟢,REDMI 14C,8GB,256GB,(4GB+4GB),$150,"Black,Blue,Green",1500,,$225.000,$236.250
🟢,REDMI 14C,16GB,256GB,(8GB+8GB) slim,$133,"Black,Blue,Green",1500,,$199.500,$209.475
🟠,REDMI 14C,16GB,256GB,(8GB+8GB) caja abollada,$136,"Black,Blue",1500,,$204.000,$214.200
🟢,REDMI 14C,16GB,256GB,(8GB+8GB),$159,"Black,Blue,Green",1500,,$238.500,$250.425
🟠,REDMI 15C,4GB,128GB,(4GB+4GB) caja abollada,$177,Twilight Orange,1500,,$265.500,$278.775
🟢,REDMI 15C,4GB,128GB,(4GB+4GB),$180,"Mint Green,Twilight Orange",1500,,$270.000,$283.500
🟠,REDMI 15C,4GB,256GB,(4GB+4GB) caja abollada,$192,Twilight Orange,1500,,$288.000,$302.400
🟢,REDMI 15C,4GB,256GB,(4GB+4GB),$195,"Moonlight Blue,Twilight Orange",1500,,$292.500,$307.125
🟠,REDMI 15C,8GB,256GB,(8GB+8GB) caja abollada,$207,"Mint Green,Moonlight Blue",1500,,$310.500,$326.025
🟢,REDMI 15C,8GB,256GB,(8GB+8GB),$210,"Black,Mint Green,Moonlight Blue,Twilight Orange",1500,,$315.000,$330.750
🟢,REDMI 15,6GB,128GB,,$195,"Black,Gray",1500,,$292.500,$307.125
🟢,REDMI 15,8GB,256GB,,$220,"Sandy Purple,Titan Gray",1500,,$330.000,$346.500
🟢,REDMI NOTE 13,6GB,128GB,,$185,"Black,Blue,Green",1500,,$277.500,$291.375
🟡,REDMI NOTE 13,8GB,128GB,,$200,Black,1500,,$300.000,$315.000
🟠,REDMI NOTE 13,8GB,256GB,,$210,"Black,Green",1500,,$315.000,$330.750
🔴,REDMI NOTE 13 5G,8GB,256GB,,$245,White,1500,,$367.500,$385.875
🟢,NOTE 13 PRO 5G,8GB,256GB,,$295,Purple,1500,,$442.500,$464.625
🟢,NOTE 13 PRO 5G,12GB,512GB,,$320,"Black,Green",1500,,$480.000,$504.000
🟢,NOTE 14,6GB,128GB,slim,$177,Black,1500,,$265.500,$278.775
🟢,NOTE 14,6GB,128GB,,$197,"Black,Blue,Green",1500,,$295.500,$310.275
🔴,NOTE 14,8GB,256GB,caja abollada,$207,Blue,1500,,$310.500,$326.025
🟢,NOTE 14,8GB,256GB,,$210,"Blue,Green",1500,,$315.000,$330.750
🟢,NOTE 14 5G,8GB,256GB,,$255,"Black,Green",1500,,$382.500,$401.625
🟢,NOTE 14S,8GB,256GB,,$244,"Black,Blue",1500,,$366.000,$384.300
🟢,NOTE 14S,12GB,512GB,,$292,"Black,Blue,Purple",1500,,$438.000,$459.900
🟠,NOTE 14 PRO,8GB,256GB,slim caja abollada,$257,Black,1500,,$385.500,$404.775
🟢,NOTE 14 PRO,8GB,256GB,slim,$260,Black,1500,,$390.000,$409.500
🔴,NOTE 14 PRO,8GB,256GB,caja abollada,$259,Purple,1500,,$388.500,$407.925
🟢,NOTE 14 PRO,8GB,256GB,,$262,"Black,Blue,Purple",1500,,$393.000,$412.650
🔴,NOTE 14 PRO,12GB,256GB,,$310,Black,1500,,$465.000,$488.250
🟢,NOTE 14 PRO 5G,8GB,256GB,slim,$285,"Green,Purple",1500,,$427.500,$448.875
🟠,NOTE 14 PRO 5G,8GB,256GB,caja abollada,$305,"Black,Green,Purple",1500,,$457.500,$480.375
🟢,NOTE 14 PRO 5G,8GB,256GB,,$310,"Gold,Green",1500,,$465.000,$488.250
🟢,NOTE 14 PRO,12GB,512GB,,$310,"Black,Blue,Gold,Purple",1500,,$465.000,$488.250
🔴,NOTE 14 PRO 5G,12GB,512GB,caja abollada,$352,Green,1500,,$528.000,$554.400
🟢,NOTE 14 PRO 5G,12GB,512GB,,$357,Green,1500,,$535.500,$562.275
🟢,NOTE 13 PRO PLUS 5G,8GB,256GB,,$339,"Black,Purple",1500,,$508.500,$533.925
🔴,NOTE 13 PRO PLUS 5G,12GB,512GB,caja abollada,$365,Purple,1500,,$547.500,$574.875
🔴,NOTE 13 PRO PLUS 5G,12GB,512GB,sin cargador,$355,Black,1500,,$532.500,$559.125
🟠,NOTE 13 PRO PLUS 5G,12GB,512GB,,$370,Purple,1500,,$555.000,$582.750
🟠,NOTE 14 PRO PLUS 5G,8GB,256GB,caja abollada,$355,Black,1500,,$532.500,$559.125
🟢,NOTE 14 PRO PLUS 5G,8GB,256GB,,$355,"Black,Frost Blue,Gold",1500,,$532.500,$559.125
🟢,NOTE 14 PRO PLUS 5G,12GB,512GB,,$425,"Frost Blue,Frost Blue",1500,,$637.500,$669.375
🟢,POCO M5S,8GB,256GB,,$167,Grey,1500,,$250.500,$263.025
🟢,POCO M6 PRO,8GB,256GB,,$210,"Black,Blue",1500,,$315.000,$330.750
🔴,POCO M7 PRO 5G,8GB,256GB,caja abollada,$230,Green,1500,,$345.000,$362.250
🟡,POCO M7 PRO 5G,8GB,256GB,,$235,Green,1500,,$352.500,$370.125
🟢,POCO M7 PRO 5G,12GB,256GB,,$255,"Green,Purple",1500,,$382.500,$401.625
🔴,POCO M7 PRO 5G,12GB,512GB,caja abollada,$272,Black,1500,,$408.000,$428.400
🟠,POCO M7 PRO 5G,12GB,512GB,,$275,"Black,Silver",1500,,$412.500,$433.125
🟡,POCO F6 5G,8GB,256GB,,$340,"Green,Titanium",1500,,$510.000,$535.500
🟡,POCO F6 5G,12GB,512GB,,$375,Green,1500,,$562.500,$590.625
🟠,POCO F6 PRO 5G,12GB,256GB,,$455,"Black,White",1500,,$682.500,$716.625
🟢,POCO F6 PRO 5G,12GB,512GB,,$460,White,1500,,$690.000,$724.500
🟡,POCO X6 PRO 5G,8GB,256GB,,$313,Black,1500,,$469.500,$492.975
